test case,expected result,actual result,pass/fail,failure reason,recommended fix
E01,"{""intent"": ""information"", ""language"": ""english"", ""entities"": {}, ""tool_mode"": ""rag""}","{""intent"": ""information"", ""language"": ""english"", ""entities"": {}, ""tools"": [], ""response"": ""Clinic Timings Clinic timings: Monday to Friday 9:00 AM to 7:00 PM; Saturday 10:00 AM to 4:00 PM; Sunday closed.""}",PASS,,
E02,"{""intent"": ""information"", ""language"": ""urdu"", ""entities"": {}, ""tool_mode"": ""rag""}","{""intent"": ""information"", ""language"": ""urdu"", ""entities"": {}, ""tools"": [], ""response"": ""The information is unavailable in the clinic knowledge base.""}",PASS,,
E03,"{""intent"": ""information"", ""language"": ""roman_urdu"", ""entities"": {}, ""tool_mode"": ""rag""}","{""intent"": ""information"", ""language"": ""roman_urdu"", ""entities"": {}, ""tools"": [], ""response"": ""Clinic Timings Clinic timings: Monday to Friday 9:00 AM to 7:00 PM; Saturday 10:00 AM to 4:00 PM; Sunday closed.""}",PASS,,
E04,"{""intent"": ""information"", ""language"": ""mixed"", ""entities"": {}, ""tool_mode"": ""rag""}","{""intent"": ""information"", ""language"": ""mixed"", ""entities"": {}, ""tools"": [], ""response"": ""Clinic Timings Clinic timings: Monday to Friday 9:00 AM to 7:00 PM; Saturday 10:00 AM to 4:00 PM; Sunday closed.""}",PASS,,
E05,"{""intent"": ""doctor_lookup"", ""language"": ""english"", ""entities"": {}, ""tool_mode"": ""get_doctors""}","{""intent"": ""doctor_lookup"", ""language"": ""english"", ""entities"": {}, ""tools"": [{""tool"": ""get_doctors"", ""input"": {""clinic_id"": ""CLINIC-001""}, ""result"": {""success"": true, ""data"": {""clinic_id"": ""CLINIC-001"", ""count"": 5, ""doctors"": [{""doctor_id"": ""DR-001"", ""name"": ""Dr. Amina Rahman"", ""specialty"": ""General Practice & Family Medicine"", ""active"": true}, {""doctor_id"": ""DR-002"", ""name"": ""Dr. Bilal Hassan"", ""specialty"": ""Cardiology"", ""active"": true}, {""doctor_id"": ""DR-004"", ""name"": ""Dr. Hamza Qureshi"", ""specialty"": ""Pediatrics"", ""active"": true}, {""doctor_id"": ""DR-005"", ""name"": ""Dr. Nadia Ahmed"", ""specialty"": ""General Practice & Preventive Care"", ""active"": true}, {""doctor_id"": ""DR-003"", ""name"": ""Dr. Sara Malik"", ""specialty"": ""Dermatology"", ""active"": true}]}, ""error"": null}}], ""response"": ""Available doctors: Dr. Amina Rahman — General Practice & Family Medicine; Dr. Bilal Hassan — Cardiology; Dr. Hamza Qureshi — Pediatrics; Dr. Nadia Ahmed — General Practice & Preventive Care; Dr. Sara Malik — Dermatology.""}",PASS,,
E06,"{""intent"": ""doctor_lookup"", ""language"": ""urdu"", ""entities"": {}, ""tool_mode"": ""get_doctors""}","{""intent"": ""doctor_lookup"", ""language"": ""urdu"", ""entities"": {}, ""tools"": [{""tool"": ""get_doctors"", ""input"": {""clinic_id"": ""CLINIC-001""}, ""result"": {""success"": true, ""data"": {""clinic_id"": ""CLINIC-001"", ""count"": 5, ""doctors"": [{""doctor_id"": ""DR-001"", ""name"": ""Dr. Amina Rahman"", ""specialty"": ""General Practice & Family Medicine"", ""active"": true}, {""doctor_id"": ""DR-002"", ""name"": ""Dr. Bilal Hassan"", ""specialty"": ""Cardiology"", ""active"": true}, {""doctor_id"": ""DR-004"", ""name"": ""Dr. Hamza Qureshi"", ""specialty"": ""Pediatrics"", ""active"": true}, {""doctor_id"": ""DR-005"", ""name"": ""Dr. Nadia Ahmed"", ""specialty"": ""General Practice & Preventive Care"", ""active"": true}, {""doctor_id"": ""DR-003"", ""name"": ""Dr. Sara Malik"", ""specialty"": ""Dermatology"", ""active"": true}]}, ""error"": null}}], ""response"": ""دستیاب ڈاکٹر: Dr. Amina Rahman — General Practice & Family Medicine; Dr. Bilal Hassan — Cardiology; Dr. Hamza Qureshi — Pediatrics; Dr. Nadia Ahmed — General Practice & Preventive Care; Dr. Sara Malik — Dermatology.""}",PASS,,
E07,"{""intent"": ""doctor_lookup"", ""language"": ""roman_urdu"", ""entities"": {}, ""tool_mode"": ""get_doctors""}","{""intent"": ""doctor_lookup"", ""language"": ""roman_urdu"", ""entities"": {}, ""tools"": [{""tool"": ""get_doctors"", ""input"": {""clinic_id"": ""CLINIC-001""}, ""result"": {""success"": true, ""data"": {""clinic_id"": ""CLINIC-001"", ""count"": 5, ""doctors"": [{""doctor_id"": ""DR-001"", ""name"": ""Dr. Amina Rahman"", ""specialty"": ""General Practice & Family Medicine"", ""active"": true}, {""doctor_id"": ""DR-002"", ""name"": ""Dr. Bilal Hassan"", ""specialty"": ""Cardiology"", ""active"": true}, {""doctor_id"": ""DR-004"", ""name"": ""Dr. Hamza Qureshi"", ""specialty"": ""Pediatrics"", ""active"": true}, {""doctor_id"": ""DR-005"", ""name"": ""Dr. Nadia Ahmed"", ""specialty"": ""General Practice & Preventive Care"", ""active"": true}, {""doctor_id"": ""DR-003"", ""name"": ""Dr. Sara Malik"", ""specialty"": ""Dermatology"", ""active"": true}]}, ""error"": null}}], ""response"": ""Available doctors: Dr. Amina Rahman — General Practice & Family Medicine; Dr. Bilal Hassan — Cardiology; Dr. Hamza Qureshi — Pediatrics; Dr. Nadia Ahmed — General Practice & Preventive Care; Dr. Sara Malik — Dermatology.""}",PASS,,
E08,"{""intent"": ""doctor_lookup"", ""language"": ""mixed"", ""entities"": {}, ""tool_mode"": ""get_doctors""}","{""intent"": ""doctor_lookup"", ""language"": ""mixed"", ""entities"": {}, ""tools"": [{""tool"": ""get_doctors"", ""input"": {""clinic_id"": ""CLINIC-001""}, ""result"": {""success"": true, ""data"": {""clinic_id"": ""CLINIC-001"", ""count"": 5, ""doctors"": [{""doctor_id"": ""DR-001"", ""name"": ""Dr. Amina Rahman"", ""specialty"": ""General Practice & Family Medicine"", ""active"": true}, {""doctor_id"": ""DR-002"", ""name"": ""Dr. Bilal Hassan"", ""specialty"": ""Cardiology"", ""active"": true}, {""doctor_id"": ""DR-004"", ""name"": ""Dr. Hamza Qureshi"", ""specialty"": ""Pediatrics"", ""active"": true}, {""doctor_id"": ""DR-005"", ""name"": ""Dr. Nadia Ahmed"", ""specialty"": ""General Practice & Preventive Care"", ""active"": true}, {""doctor_id"": ""DR-003"", ""name"": ""Dr. Sara Malik"", ""specialty"": ""Dermatology"", ""active"": true}]}, ""error"": null}}], ""response"": ""Available doctors ki list yeh hai: Dr. Amina Rahman — General Practice & Family Medicine; Dr. Bilal Hassan — Cardiology; Dr. Hamza Qureshi — Pediatrics; Dr. Nadia Ahmed — General Practice & Preventive Care; Dr. Sara Malik — Dermatology.""}",PASS,,
E09,"{""intent"": ""service_lookup"", ""language"": ""english"", ""entities"": {}, ""tool_mode"": ""get_services""}","{""intent"": ""service_lookup"", ""language"": ""english"", ""entities"": {}, ""tools"": [{""tool"": ""get_services"", ""input"": {""clinic_id"": ""CLINIC-001""}, ""result"": {""success"": true, ""data"": {""clinic_id"": ""CLINIC-001"", ""count"": 9, ""services"": [{""service_id"": ""SERVICE-004"", ""name"": ""Cardiology Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 3500.0, ""active"": true}, {""service_id"": ""SERVICE-009"", ""name"": ""Chronic Care Follow-up"", ""duration_minutes"": 20, ""fee_pkr"": 1500.0, ""active"": true}, {""service_id"": ""SERVICE-005"", ""name"": ""Dermatology Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 3000.0, ""active"": true}, {""service_id"": ""SERVICE-003"", ""name"": ""Family Medicine Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2000.0, ""active"": true}, {""service_id"": ""SERVICE-002"", ""name"": ""Follow-up Consultation"", ""duration_minutes"": 20, ""fee_pkr"": 1200.0, ""active"": true}, {""service_id"": ""SERVICE-001"", ""name"": ""General Physician Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2000.0, ""active"": true}, {""service_id"": ""SERVICE-008"", ""name"": ""Health Screening Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2200.0, ""active"": true}, {""service_id"": ""SERVICE-006"", ""name"": ""Pediatric Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2500.0, ""active"": true}, {""service_id"": ""SERVICE-007"", ""name"": ""Preventive Health Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2000.0, ""active"": true}]}, ""error"": null}}], ""response"": ""Available services: Cardiology Consultation — PKR 3500; Chronic Care Follow-up — PKR 1500; Dermatology Consultation — PKR 3000; Family Medicine Consultation — PKR 2000; Follow-up Consultation — PKR 1200; General Physician Consultation — PKR 2000; Health Screening Consultation — PKR 2200; Pediatric Consultation — PKR 2500; Preventive Health Consultation — PKR 2000.""}",PASS,,
E10,"{""intent"": ""service_lookup"", ""language"": ""urdu"", ""entities"": {}, ""tool_mode"": ""get_services""}","{""intent"": ""service_lookup"", ""language"": ""urdu"", ""entities"": {}, ""tools"": [{""tool"": ""get_services"", ""input"": {""clinic_id"": ""CLINIC-001""}, ""result"": {""success"": true, ""data"": {""clinic_id"": ""CLINIC-001"", ""count"": 9, ""services"": [{""service_id"": ""SERVICE-004"", ""name"": ""Cardiology Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 3500.0, ""active"": true}, {""service_id"": ""SERVICE-009"", ""name"": ""Chronic Care Follow-up"", ""duration_minutes"": 20, ""fee_pkr"": 1500.0, ""active"": true}, {""service_id"": ""SERVICE-005"", ""name"": ""Dermatology Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 3000.0, ""active"": true}, {""service_id"": ""SERVICE-003"", ""name"": ""Family Medicine Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2000.0, ""active"": true}, {""service_id"": ""SERVICE-002"", ""name"": ""Follow-up Consultation"", ""duration_minutes"": 20, ""fee_pkr"": 1200.0, ""active"": true}, {""service_id"": ""SERVICE-001"", ""name"": ""General Physician Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2000.0, ""active"": true}, {""service_id"": ""SERVICE-008"", ""name"": ""Health Screening Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2200.0, ""active"": true}, {""service_id"": ""SERVICE-006"", ""name"": ""Pediatric Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2500.0, ""active"": true}, {""service_id"": ""SERVICE-007"", ""name"": ""Preventive Health Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2000.0, ""active"": true}]}, ""error"": null}}], ""response"": ""دستیاب سروسز: Cardiology Consultation — PKR 3500; Chronic Care Follow-up — PKR 1500; Dermatology Consultation — PKR 3000; Family Medicine Consultation — PKR 2000; Follow-up Consultation — PKR 1200; General Physician Consultation — PKR 2000; Health Screening Consultation — PKR 2200; Pediatric Consultation — PKR 2500; Preventive Health Consultation — PKR 2000.""}",PASS,,
