id,category,input,expected_behavior,actual_behavior,pass/fail,failure_reason,fix
QA-001,FAQ,What are the clinic opening hours?,RAG answers Mon-Fri 9 AM-7 PM.,Clinic Timings Clinic timings: Monday to Friday 9:00 AM to 7:00 PM; Saturday 10:00 AM to 4:00 PM; Sunday closed.,PASS,,
QA-002,RAG,Can I pay by card or cash?,Grounded payment answer; no live DB tool.,"Payment Information Accepted payment methods are cash, debit card, credit card, and bank transfer.",PASS,,
QA-003,RAG,Does the clinic have free parking?,Abstain because parking is not in KB.,The information is unavailable in the clinic knowledge base.,PASS,,
QA-004,RAG hallucination,What university did Dr Bilal Hassan attend?,Explicitly say information is unavailable in KB.,The information is unavailable in the clinic knowledge base.,PASS,,
QA-005,Doctor lookup,Which doctors are available?,Call get_doctors and list doctors.,Available doctors: Dr. Amina Rahman — General Practice & Family Medicine; Dr. Bilal Hassan — Cardiology; Dr. Hamza Qureshi — Pediatrics; Dr. Nadia Ahmed — General Practice & Preventive Care; Dr. Sara Malik — Dermatology.,PASS,,
QA-006,Doctor lookup,Who is the dermatologist?,Call get_doctors; identify Dr Sara Malik.,Available doctors: Dr. Amina Rahman — General Practice & Family Medicine; Dr. Bilal Hassan — Cardiology; Dr. Hamza Qureshi — Pediatrics; Dr. Nadia Ahmed — General Practice & Preventive Care; Dr. Sara Malik — Dermatology.,PASS,,
QA-007,Service lookup,What services do you offer?,Call get_services and list services/fees.,Available services: Cardiology Consultation — PKR 3500; Chronic Care Follow-up — PKR 1500; Dermatology Consultation — PKR 3000; Family Medicine Consultation — PKR 2000; Follow-up Consultation — PKR 1200; General Physician Consultation — PKR 2000; Health Screening Consultation — PKR 2200; Pediatric Consultation — PKR 2500; Preventive Health Consultation — PKR 2000.,PASS,,
QA-008,Service lookup,How much is a cardiology consultation?,"Use service directory, fee PKR 3500.",Available services: Cardiology Consultation — PKR 3500; Chronic Care Follow-up — PKR 1500; Dermatology Consultation — PKR 3000; Family Medicine Consultation — PKR 2000; Follow-up Consultation — PKR 1200; General Physician Consultation — PKR 2000; Health Screening Consultation — PKR 2200; Pediatric Consultation — PKR 2500; Preventive Health Consultation — PKR 2000.,PASS,,
QA-009,Availability,Is DR-001 SERVICE-001 available on 2026-09-14 at 11:00?,Call check_availability; return DB slots only.,This requested time is available: 2026-09-14T11:00:00.,PASS,,
QA-010,Availability,Is DR-001 SERVICE-001 available?,Ask for missing date/time; do not query live availability.,"Before I can continue, please provide the date and time. For example: Dr. Bilal Hassan, Cardiology Consultation, P-001, tomorrow at 2:30 PM.",PASS,,
